# time_ns temp_K pressure_bar volume_A3 kinetic potential total
0.000000000000000000e+00 2.924275000000000091e+02 -2.460195999999999970e+02 2.669124030999999959e+05 1.811840690000000177e+04 -4.522444460000000254e+04 -2.710603770000000077e+04
2.000000000000000042e-02 2.906485000000000127e+02 -5.730357000000000198e+02 2.649431324000000022e+05 1.800818309999999838e+04 -4.647414480000000185e+04 -2.846596180000000095e+04
4.000000000000000083e-02 2.905668000000000006e+02 -3.998396000000000186e+02 2.647658086999999941e+05 1.800311750000000029e+04 -4.676873139999999694e+04 -2.876561390000000029e+04
5.999999999999999778e-02 2.882309999999999945e+02 3.408700999999999794e+02 2.632131259999999893e+05 1.785839779999999882e+04 -4.675608140000000276e+04 -2.889768370000000141e+04
8.000000000000000167e-02 2.887839000000000169e+02 1.771050999999999931e+02 2.640806394999999902e+05 1.789265320000000065e+04 -4.661824180000000342e+04 -2.872558859999999913e+04
9.999999999999999167e-02 2.913073999999999728e+02 2.852112999999999943e+02 2.641684549000000115e+05 1.804900939999999900e+04 -4.661534100000000035e+04 -2.856633160000000134e+04
1.199999999999999956e-01 2.899476999999999975e+02 -2.307167000000000030e+02 2.652439514000000199e+05 1.796476250000000073e+04 -4.648485650000000169e+04 -2.852009389999999985e+04
1.399999999999999856e-01 2.875928000000000111e+02 -1.629950000000000045e+02 2.651660463999999920e+05 1.781885640000000058e+04 -4.672777189999999973e+04 -2.890891549999999916e+04
1.600000000000000033e-01 2.935222999999999729e+02 6.896309999999999718e+01 2.637989931000000215e+05 1.818623909999999887e+04 -4.676164469999999710e+04 -2.857540559999999823e+04
1.799999999999999933e-01 2.919062000000000126e+02 1.253520000000000039e+02 2.643331644000000088e+05 1.808611059999999998e+04 -4.677230170000000362e+04 -2.868619110000000001e+04
1.999999999999999833e-01 2.897690000000000055e+02 -2.693231999999999857e+02 2.644741889000000083e+05 1.795368730000000141e+04 -4.657459619999999995e+04 -2.862090899999999965e+04
2.200000000000000011e-01 2.883596999999999753e+02 -4.930344999999999800e+02 2.638024605999999912e+05 1.786637150000000111e+04 -4.696852780000000348e+04 -2.910215629999999874e+04
2.399999999999999911e-01 2.872792000000000030e+02 -1.874095000000000084e+02 2.641764934999999823e+05 1.779942640000000029e+04 -4.684331319999999687e+04 -2.904388669999999911e+04
2.600000000000000089e-01 2.927208999999999719e+02 2.217400000000000091e+02 2.641685313999999780e+05 1.813658850000000166e+04 -4.690689839999999822e+04 -2.877030990000000020e+04
2.799999999999999711e-01 2.883600000000000136e+02 -2.795156999999999812e+02 2.638092701000000234e+05 1.786638839999999982e+04 -4.666472430000000168e+04 -2.879833589999999822e+04
2.999999999999999889e-01 2.897876999999999725e+02 2.707413000000000238e+02 2.629196723999999813e+05 1.795484979999999996e+04 -4.705007160000000295e+04 -2.909522179999999935e+04
3.200000000000000067e-01 2.886881999999999948e+02 1.664704999999999870e+02 2.643126748999999836e+05 1.788672220000000016e+04 -4.663170910000000003e+04 -2.874498679999999877e+04
3.399999999999999689e-01 2.911408999999999878e+02 -1.648028999999999940e+02 2.641643155999999726e+05 1.803869340000000011e+04 -4.679004450000000361e+04 -2.875135109999999986e+04
3.599999999999999867e-01 2.898811000000000035e+02 -5.812800000000000189e+00 2.636783199000000022e+05 1.796063720000000103e+04 -4.674280539999999746e+04 -2.878216820000000007e+04
3.800000000000000044e-01 2.893224999999999909e+02 7.975316000000000258e+02 2.639998699999999953e+05 1.792602730000000156e+04 -4.665855260000000271e+04 -2.873252530000000115e+04
3.999999999999999667e-01 2.909870000000000232e+02 -1.023247000000000071e+02 2.631521365000000224e+05 1.802915669999999955e+04 -4.688644810000000143e+04 -2.885729139999999825e+04
4.199999999999999845e-01 2.896981999999999857e+02 -1.312923000000000116e+02 2.645915324999999721e+05 1.794930159999999887e+04 -4.682449079999999958e+04 -2.887518920000000071e+04
4.400000000000000022e-01 2.911750000000000114e+02 8.745189999999999486e+01 2.656661646000000183e+05 1.804080380000000150e+04 -4.668550860000000102e+04 -2.864470479999999952e+04
4.599999999999999645e-01 2.873980000000000246e+02 8.811790000000000589e+01 2.639237774000000209e+05 1.780678429999999935e+04 -4.669568420000000333e+04 -2.888889990000000034e+04
4.799999999999999822e-01 2.893450000000000273e+02 1.863354999999999961e+02 2.645031074999999837e+05 1.792742009999999937e+04 -4.662085130000000208e+04 -2.869343119999999908e+04
5.000000000000000000e-01 2.921478999999999928e+02 -4.230858999999999810e+02 2.651362873999999720e+05 1.810108559999999852e+04 -4.665644789999999921e+04 -2.855536230000000069e+04
5.200000000000000178e-01 2.887241000000000213e+02 -4.326657000000000153e+02 2.641319101999999839e+05 1.788895140000000174e+04 -4.670353990000000340e+04 -2.881458840000000055e+04
5.399999999999999245e-01 2.919218000000000188e+02 1.683363999999999976e+02 2.641608930999999866e+05 1.808707170000000042e+04 -4.685813190000000031e+04 -2.877106019999999990e+04
5.599999999999999423e-01 2.912382000000000062e+02 -6.042532999999999674e+02 2.648570018000000273e+05 1.804471819999999934e+04 -4.682149799999999959e+04 -2.877677980000000025e+04
5.799999999999999600e-01 2.879739999999999895e+02 3.570661999999999807e+02 2.642969818000000087e+05 1.784247590000000127e+04 -4.660268499999999767e+04 -2.876020920000000115e+04
5.999999999999999778e-01 2.887739000000000260e+02 -3.464230000000000018e+02 2.647602728999999817e+05 1.789203450000000157e+04 -4.697713390000000072e+04 -2.908509939999999915e+04
6.199999999999999956e-01 2.893125999999999749e+02 -2.137855000000000132e+02 2.631708018000000156e+05 1.792541059999999925e+04 -4.665435310000000027e+04 -2.872894250000000102e+04
6.400000000000000133e-01 2.918435999999999808e+02 -1.034763999999999982e+02 2.643380656999999774e+05 1.808223050000000148e+04 -4.692281429999999818e+04 -2.884058380000000034e+04
6.599999999999999201e-01 2.871700999999999908e+02 -1.373882999999999868e+02 2.636971700999999885e+05 1.779266779999999926e+04 -4.666015129999999772e+04 -2.886748349999999846e+04
6.799999999999999378e-01 2.909721999999999866e+02 2.476210000000000022e+01 2.631969944999999716e+05 1.802824100000000180e+04 -4.654543490000000020e+04 -2.851719399999999951e+04
6.999999999999999556e-01 2.915138999999999783e+02 1.222653999999999996e+02 2.642987620999999926e+05 1.806180050000000119e+04 -4.676839170000000013e+04 -2.870659119999999893e+04
7.199999999999999734e-01 2.904556999999999789e+02 -1.287609999999999921e+01 2.631396339000000153e+05 1.799623670000000129e+04 -4.682605640000000130e+04 -2.882981959999999890e+04
7.399999999999999911e-01 2.910500000000000114e+02 4.783552999999999997e+02 2.633224590999999782e+05 1.803305770000000120e+04 -4.694216670000000158e+04 -2.890910900000000038e+04
7.600000000000000089e-01 2.885240999999999758e+02 2.136908999999999992e+02 2.636110533999999752e+05 1.787656000000000131e+04 -4.665461260000000038e+04 -2.877805259999999907e+04
7.799999999999999156e-01 2.911976000000000226e+02 5.410895000000000437e+02 2.628500050000000047e+05 1.804220550000000003e+04 -4.689986159999999654e+04 -2.885765610000000015e+04
7.999999999999999334e-01 2.897445000000000164e+02 -1.568190000000000062e+01 2.644059218000000110e+05 1.795217410000000018e+04 -4.664651849999999831e+04 -2.869434440000000177e+04
8.199999999999999512e-01 2.905230000000000246e+02 1.487786000000000115e+02 2.632765677000000142e+05 1.800040559999999823e+04 -4.688907779999999912e+04 -2.888867220000000088e+04
8.399999999999999689e-01 2.896193999999999846e+02 2.402710000000000079e+01 2.641961128000000026e+05 1.794441920000000027e+04 -4.673716219999999885e+04 -2.879274299999999857e+04
8.599999999999999867e-01 2.869855999999999767e+02 6.572480000000000189e+01 2.648301819000000251e+05 1.778123280000000159e+04 -4.664046300000000338e+04 -2.885923029999999926e+04
