# time_ps temp_K volume_A3 kinetic potential total
0.000000000000000000e+00 2.094786000000000001e+02 2.512109121999999916e+05 1.297900430000000051e+04 -5.523130170000000362e+04 -4.225229740000000311e+04
1.000000000000000000e+00 2.095055000000000121e+02 2.518585440999999992e+05 1.298067460000000028e+04 -5.513366720000000350e+04 -4.215299259999999776e+04
2.000000000000000000e+00 2.081608999999999980e+02 2.515786681000000099e+05 1.289736640000000079e+04 -5.505339190000000235e+04 -4.215602550000000338e+04
3.000000000000000000e+00 2.096522999999999968e+02 2.516357777000000060e+05 1.298977189999999973e+04 -5.509855069999999978e+04 -4.210877870000000257e+04
4.000000000000000000e+00 2.094122999999999877e+02 2.520235354999999981e+05 1.297490120000000024e+04 -5.523555279999999766e+04 -4.226065170000000217e+04
5.000000000000000000e+00 2.088828000000000031e+02 2.527571234000000113e+05 1.294209360000000015e+04 -5.525099130000000150e+04 -4.230889770000000135e+04
6.000000000000000000e+00 2.070802999999999940e+02 2.519546777000000002e+05 1.283041189999999915e+04 -5.510634150000000227e+04 -4.227592960000000312e+04
7.000000000000000000e+00 2.090086000000000013e+02 2.520067805999999982e+05 1.294988529999999992e+04 -5.512415789999999834e+04 -4.217427259999999660e+04
8.000000000000000000e+00 2.087646000000000015e+02 2.518513442999999970e+05 1.293476779999999962e+04 -5.513199670000000333e+04 -4.219722890000000189e+04
9.000000000000000000e+00 2.099599000000000046e+02 2.521732925000000105e+05 1.300882979999999952e+04 -5.523183099999999831e+04 -4.222300119999999879e+04
1.000000000000000000e+01 2.105595000000000141e+02 2.518985242000000144e+05 1.304597470000000067e+04 -5.536710379999999714e+04 -4.232112909999999829e+04
