# t_ps C_rot
0.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000042e-02 1.364536322845855965e-01
4.000000000000000083e-02 1.124351631693986525e-01
5.999999999999999778e-02 1.048106383025577404e-01
8.000000000000000167e-02 9.375595822798320211e-02
1.000000000000000056e-01 9.321620609034024507e-02
1.199999999999999956e-01 7.939279804355509063e-02
1.400000000000000133e-01 7.945401569150306598e-02
1.600000000000000033e-01 7.792084725949213753e-02
1.799999999999999933e-01 7.976196158045419093e-02
2.000000000000000111e-01 7.203536204207636184e-02
2.200000000000000011e-01 7.296953977105545552e-02
2.399999999999999911e-01 7.269249742177846807e-02
2.600000000000000089e-01 6.780934620916143074e-02
2.800000000000000266e-01 6.577046747952031147e-02
2.999999999999999889e-01 6.775415028035987330e-02
3.200000000000000067e-01 6.189627770267686069e-02
3.400000000000000244e-01 6.058245389495317546e-02
3.599999999999999867e-01 6.268822594820785965e-02
3.800000000000000044e-01 6.242451731118321689e-02
4.000000000000000222e-01 6.504920564700249208e-02
4.199999999999999845e-01 6.045514760188611114e-02
4.400000000000000022e-01 6.282225453772681545e-02
4.600000000000000200e-01 5.797582884673550124e-02
4.799999999999999822e-01 6.022182754308592206e-02
5.000000000000000000e-01 5.948583795093697474e-02
5.200000000000000178e-01 5.836820051602749360e-02
5.400000000000000355e-01 5.731082011591981384e-02
5.600000000000000533e-01 6.057401852496961669e-02
5.799999999999999600e-01 6.000998281469785423e-02
5.999999999999999778e-01 5.645036049712081477e-02
6.199999999999999956e-01 5.573287215815823231e-02
6.400000000000000133e-01 5.762154426599287727e-02
6.600000000000000311e-01 5.385722651071911393e-02
6.800000000000000488e-01 5.824180925240066836e-02
7.000000000000000666e-01 5.541440667916777002e-02
7.199999999999999734e-01 5.487646923037966390e-02
7.399999999999999911e-01 5.469753401409181703e-02
7.600000000000000089e-01 5.356576514145240664e-02
7.800000000000000266e-01 5.609040653996960613e-02
8.000000000000000444e-01 5.418650925433236842e-02
8.200000000000000622e-01 5.088211051163938486e-02
8.399999999999999689e-01 5.332668924379254521e-02
8.599999999999999867e-01 5.012555579768575298e-02
