# T_K shell tau_ps tau_err_ps A A_err R2
290.5 0_3A 14.271894 0.394870 0.748893 0.007279 0.966419
290.5 3_5A 3.515440 0.067392 0.691505 0.010405 0.989160
290.5 5_10A 2.803015 0.030565 0.772180 0.007012 0.997036
290.5 10_15A 2.925353 0.036103 0.803561 0.008174 0.996076
293.5 0_3A 13.275367 0.359072 0.740585 0.007457 0.968016
293.5 3_5A 3.208075 0.059291 0.694688 0.010337 0.990508
293.5 5_10A 2.615765 0.026532 0.772245 0.006630 0.997561
293.5 10_15A 2.716584 0.027294 0.799730 0.006741 0.997547
297.5 0_3A 13.478089 0.385721 0.736814 0.007756 0.964235
297.5 3_5A 3.203902 0.064952 0.689215 0.011253 0.988519
297.5 5_10A 2.450921 0.023237 0.777022 0.006330 0.997962
297.5 10_15A 2.510756 0.027394 0.813677 0.007586 0.997243
301.5 0_3A 11.755633 0.354488 0.737939 0.008977 0.961489
301.5 3_5A 2.781764 0.036240 0.718162 0.007795 0.995916
301.5 5_10A 2.230661 0.027036 0.794035 0.008447 0.997039
301.5 10_15A 2.522990 0.024327 0.801382 0.006590 0.997945
304.5 0_3A 13.614153 0.426313 0.722845 0.008136 0.958256
304.5 3_5A 3.098664 0.116705 0.636223 0.019426 0.960371
304.5 5_10A 2.562967 0.055179 0.721627 0.013201 0.988992
304.5 10_15A 2.168658 0.039819 0.823269 0.013357 0.992948
307.5 0_3A 11.918076 0.354607 0.715672 0.008623 0.961741
307.5 3_5A 2.775394 0.059910 0.674312 0.012151 0.988120
307.5 5_10A 2.176205 0.024006 0.758793 0.007393 0.997440
307.5 10_15A 2.157236 0.015105 0.805376 0.004991 0.998987
