# t_ps VACF
0.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000042e-02 2.025574328992567341e-02
4.000000000000000083e-02 -4.880735682761687122e-01
5.999999999999999778e-02 -1.447329140564063317e-02
8.000000000000000167e-02 -3.706599429003708084e-03
1.000000000000000056e-01 4.214740469746340590e-03
1.199999999999999956e-01 -6.887028351561541063e-03
1.400000000000000133e-01 -1.161700792751049760e-02
1.600000000000000033e-01 2.258314342121396732e-03
1.799999999999999933e-01 6.828747642917583349e-03
2.000000000000000111e-01 -2.945551030436561503e-03
2.200000000000000011e-01 -2.872924029846000895e-03
2.399999999999999911e-01 1.737397725188480997e-03
2.600000000000000089e-01 -9.707498592298775949e-04
2.800000000000000266e-01 6.462392822999601591e-04
2.999999999999999889e-01 1.333496465815832291e-03
3.200000000000000067e-01 -2.614987608828137251e-03
3.400000000000000244e-01 -4.750423948432962520e-03
3.599999999999999867e-01 -2.163445992582216891e-03
3.800000000000000044e-01 4.446934442035052268e-03
4.000000000000000222e-01 4.076956952510607350e-03
4.199999999999999845e-01 -1.043543803005389254e-03
4.400000000000000022e-01 -1.374990199993918324e-03
4.600000000000000200e-01 -3.008900232137819934e-03
4.799999999999999822e-01 7.824507390235543392e-04
5.000000000000000000e-01 3.968531383642782441e-03
5.200000000000000178e-01 -2.577270753065141490e-03
5.400000000000000355e-01 -4.172511660117603216e-03
5.600000000000000533e-01 3.757887818637401477e-03
5.799999999999999600e-01 6.181085846188277659e-03
5.999999999999999778e-01 -3.018569044130095004e-03
6.199999999999999956e-01 -7.105387397543029213e-03
6.400000000000000133e-01 -1.253406026152865775e-03
6.600000000000000311e-01 1.322881121538425518e-03
6.800000000000000488e-01 1.441256014001727646e-03
7.000000000000000666e-01 3.796439052259493151e-03
7.199999999999999734e-01 -3.845578261134813313e-04
7.399999999999999911e-01 -3.505616642312002658e-03
7.600000000000000089e-01 1.642801697263030457e-03
7.800000000000000266e-01 3.037767639421211970e-03
8.000000000000000444e-01 -1.049978641158006538e-04
8.200000000000000622e-01 -3.495661607998818126e-03
8.399999999999999689e-01 -2.787387152355981675e-03
8.599999999999999867e-01 1.089329626371426073e-03
8.800000000000000044e-01 3.258351530120493552e-03
9.000000000000000222e-01 -4.985462611295961299e-04
9.200000000000000400e-01 -3.244408877261609984e-03
9.400000000000000577e-01 1.152345954801468940e-03
9.599999999999999645e-01 1.278230005294960642e-03
9.799999999999999822e-01 1.727977269801554911e-03
1.000000000000000000e+00 8.134513304294670741e-04
1.020000000000000018e+00 -6.171155748184567469e-03
1.040000000000000036e+00 -5.702268100301031723e-04
1.060000000000000053e+00 6.793846720676221043e-03
1.080000000000000071e+00 2.635809978273224714e-04
1.100000000000000089e+00 -2.686257306815496675e-03
1.120000000000000107e+00 -2.064884742526062675e-03
1.140000000000000124e+00 -1.128293801856269040e-04
1.159999999999999920e+00 3.817386469419974549e-03
1.179999999999999938e+00 5.452176274843669915e-05
1.199999999999999956e+00 -6.802739708620644723e-04
1.219999999999999973e+00 -2.554912108202206530e-04
1.239999999999999991e+00 -6.535881834399213247e-04
1.260000000000000009e+00 3.586101400857795701e-03
1.280000000000000027e+00 -6.018770491213693095e-04
1.300000000000000044e+00 -3.644331928485238566e-03
1.320000000000000062e+00 4.035829964117369057e-04
1.340000000000000080e+00 4.205081801886192809e-04
1.360000000000000098e+00 -1.020450472317842609e-03
1.380000000000000115e+00 -1.133243211932292169e-03
1.400000000000000133e+00 9.306476177678149261e-04
1.419999999999999929e+00 2.997245064022399305e-03
1.439999999999999947e+00 1.313444253216133862e-04
1.459999999999999964e+00 -1.705467345719255531e-03
1.479999999999999982e+00 -2.091779345834108086e-03
1.500000000000000000e+00 -2.126126975740720744e-03
1.520000000000000018e+00 2.152802898993463106e-03
1.540000000000000036e+00 3.623417504943510919e-03
1.560000000000000053e+00 1.644853367947825577e-03
1.580000000000000071e+00 -5.960419490786254170e-05
1.600000000000000089e+00 -2.452756651926086846e-03
1.620000000000000107e+00 -2.946600592490673885e-03
1.640000000000000124e+00 -2.274887994082446310e-03
1.660000000000000142e+00 1.292117439214913641e-04
1.679999999999999938e+00 5.289319906568955981e-03
1.699999999999999956e+00 3.314293041195295712e-03
1.719999999999999973e+00 -3.281223428958872108e-03
1.739999999999999991e+00 -2.632057612117805808e-03
1.760000000000000009e+00 -2.746760749767455261e-04
1.780000000000000027e+00 1.184386233039294188e-03
1.800000000000000044e+00 2.892910712706218534e-03
1.820000000000000062e+00 -4.496247948722401945e-03
1.840000000000000080e+00 -8.991094120856524263e-04
1.860000000000000098e+00 6.462658580467247650e-03
1.880000000000000115e+00 -2.273007601026829933e-03
1.900000000000000133e+00 -4.831380189232911161e-03
1.919999999999999929e+00 1.227119207280183942e-03
1.939999999999999947e+00 5.019809199254678805e-03
1.959999999999999964e+00 -5.341300602267044393e-04
1.979999999999999982e+00 -1.531153409362667837e-03
2.000000000000000000e+00 3.485198031953681570e-03
2.020000000000000018e+00 -8.097361427837267018e-09
2.040000000000000036e+00 -3.675216798442518078e-03
2.060000000000000053e+00 -1.033360216708250397e-03
2.080000000000000071e+00 1.111825249710462555e-04
2.100000000000000089e+00 -3.636397557247838131e-03
2.120000000000000107e+00 -1.674823919894014891e-03
2.140000000000000124e+00 4.974961317346916941e-03
2.160000000000000142e+00 3.717319575453088571e-03
2.180000000000000160e+00 -2.784390821702988940e-03
2.200000000000000178e+00 -2.608572375887317774e-03
2.220000000000000195e+00 5.465880251308168937e-03
2.240000000000000213e+00 4.100739795691159609e-03
2.260000000000000231e+00 -5.082441806927379992e-03
2.280000000000000249e+00 -2.875856942737818785e-03
2.300000000000000266e+00 -1.043135483161890210e-03
2.319999999999999840e+00 -1.344695088231571490e-03
2.339999999999999858e+00 2.135640008284595080e-03
2.359999999999999876e+00 4.685214800637819109e-03
2.379999999999999893e+00 1.274808312506797454e-03
2.399999999999999911e+00 -6.953585664929085725e-03
2.419999999999999929e+00 -1.243518771323047197e-03
2.439999999999999947e+00 7.037436891481725458e-03
2.459999999999999964e+00 -1.222986360694736790e-03
2.479999999999999982e+00 -6.056273904126057046e-03
2.500000000000000000e+00 2.449779678980177223e-03
2.520000000000000018e+00 3.621790921876174522e-03
2.540000000000000036e+00 -1.680359049114613611e-03
2.560000000000000053e+00 -2.381845130228608335e-03
2.580000000000000071e+00 -1.861621635150768504e-03
2.600000000000000089e+00 1.047514534667514296e-03
2.620000000000000107e+00 3.469775296499421832e-03
2.640000000000000124e+00 -5.444938935577147516e-04
2.660000000000000142e+00 -1.646059819180957506e-03
2.680000000000000160e+00 3.194715497715674112e-03
2.700000000000000178e+00 -2.166548430342796032e-03
2.720000000000000195e+00 -3.932592407409048717e-03
2.740000000000000213e+00 3.124255943186033009e-03
2.760000000000000231e+00 -1.962430278247111475e-04
2.780000000000000249e+00 -5.239294324478982554e-04
2.800000000000000266e+00 5.057890835733444036e-04
2.819999999999999840e+00 -2.305770010638485273e-03
2.839999999999999858e+00 3.160827819513329327e-03
2.859999999999999876e+00 2.369706275606980883e-03
2.879999999999999893e+00 -7.051909575536891885e-04
2.899999999999999911e+00 2.680421558475898879e-03
2.919999999999999929e+00 -8.245882442188297431e-04
2.939999999999999947e+00 -1.748772103604934527e-03
2.959999999999999964e+00 -6.349008330563170538e-04
2.979999999999999982e+00 -3.230937373730345848e-03
3.000000000000000000e+00 -4.244268187180132439e-04
3.020000000000000018e+00 3.756086980469287417e-03
3.040000000000000036e+00 -1.314623431895829437e-03
3.060000000000000053e+00 -4.311088917594982015e-03
3.080000000000000071e+00 4.285654865045130865e-03
3.100000000000000089e+00 1.467345981240588022e-03
3.120000000000000107e+00 -2.370567203056184354e-03
3.140000000000000124e+00 2.377376262268468283e-03
3.160000000000000142e+00 -2.127806469318997527e-05
3.180000000000000160e+00 -2.510160570636214058e-03
3.200000000000000178e+00 -3.464230565861564637e-03
3.220000000000000195e+00 1.395017658417485379e-03
3.240000000000000213e+00 4.939570744056676413e-03
3.260000000000000231e+00 1.204519736128552244e-03
3.280000000000000249e+00 -3.106883344938946283e-03
3.300000000000000266e+00 -4.427104321485428838e-04
3.320000000000000284e+00 5.250902794915533571e-03
3.339999999999999858e+00 -1.198075316270948718e-03
3.359999999999999876e+00 -5.547910444691871515e-03
3.379999999999999893e+00 2.604093853859677874e-04
3.399999999999999911e+00 8.732483835768732952e-03
3.419999999999999929e+00 2.714950470436549353e-03
3.439999999999999947e+00 -1.047454494879744222e-02
3.459999999999999964e+00 -2.861221956128999488e-03
3.479999999999999982e+00 4.072768379533697053e-03
3.500000000000000000e+00 4.471280380570655071e-04
3.520000000000000018e+00 1.099590933781902612e-03
3.540000000000000036e+00 1.498508949580979832e-04
3.560000000000000053e+00 -1.461202238219815172e-03
3.580000000000000071e+00 -7.896657884981685008e-04
3.600000000000000089e+00 -1.018294115957827425e-03
3.620000000000000107e+00 -9.296221931595176347e-04
3.640000000000000124e+00 3.627332699955683405e-04
3.660000000000000142e+00 1.993530974373475110e-04
3.680000000000000160e+00 1.421931887981221733e-03
3.700000000000000178e+00 3.096409779362349016e-03
3.720000000000000195e+00 -5.015689613290391115e-05
3.740000000000000213e+00 -3.398551159592116521e-03
3.760000000000000231e+00 -3.929934582508978931e-03
3.780000000000000249e+00 9.349952129871702067e-04
3.800000000000000266e+00 5.142539602666807742e-03
3.820000000000000284e+00 2.272411455095906061e-03
3.839999999999999858e+00 -1.507755326251933726e-04
3.859999999999999876e+00 -3.688650129927372432e-05
3.879999999999999893e+00 -2.193422401952060171e-03
3.899999999999999911e+00 -3.216059249338244774e-03
3.919999999999999929e+00 -5.383572464449691911e-04
3.939999999999999947e+00 -6.118079457025421206e-04
3.959999999999999964e+00 2.079383191994889357e-03
3.979999999999999982e+00 2.779146221713991484e-03
4.000000000000000000e+00 -1.587771143383791142e-03
4.020000000000000462e+00 1.598262249108754708e-03
4.040000000000000036e+00 2.778714386094870321e-03
4.060000000000000497e+00 -4.521089670604884828e-03
4.080000000000000071e+00 -4.444324060742591009e-03
