dt_ps,C_snapshot
0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,5.641510915852611108e-01
4.000000000000000000e+01,5.504081775211445704e-01
6.000000000000000000e+01,5.459130218893492037e-01
8.000000000000000000e+01,5.393648048824656316e-01
1.000000000000000000e+02,5.405342788813274346e-01
1.200000000000000000e+02,5.318352041321485757e-01
1.400000000000000000e+02,5.314456587171562107e-01
1.600000000000000000e+02,5.306911825412604644e-01
1.800000000000000000e+02,5.326816243437362264e-01
2.000000000000000000e+02,5.275183265720435610e-01
2.200000000000000000e+02,5.278320306939129347e-01
2.400000000000000000e+02,5.271047848250316470e-01
2.600000000000000000e+02,5.255580327147643116e-01
2.800000000000000000e+02,5.250065690680136843e-01
3.000000000000000000e+02,5.244276798382592197e-01
3.200000000000000000e+02,5.223668854405626449e-01
3.400000000000000000e+02,5.220419463893574141e-01
3.600000000000000000e+02,5.221961594513576665e-01
3.800000000000000000e+02,5.236580214425521351e-01
4.000000000000000000e+02,5.239446942266416940e-01
4.200000000000000000e+02,5.215387891227957207e-01
4.400000000000000000e+02,5.220103274549073857e-01
4.600000000000000000e+02,5.201096334390575837e-01
4.800000000000000000e+02,5.212694583853808572e-01
5.000000000000000000e+02,5.212017559485319085e-01
5.200000000000000000e+02,5.198549159392903407e-01
5.400000000000000000e+02,5.189414113696848574e-01
5.600000000000000000e+02,5.207819738128971476e-01
5.800000000000000000e+02,5.204869858093700286e-01
6.000000000000000000e+02,5.181994321373692980e-01
6.200000000000000000e+02,5.164903431352341201e-01
6.400000000000000000e+02,5.183267048835469293e-01
6.600000000000000000e+02,5.188798769027879176e-01
6.800000000000000000e+02,5.196997397837207489e-01
7.000000000000000000e+02,5.199405855162539947e-01
7.200000000000000000e+02,5.196176746380268829e-01
7.400000000000000000e+02,5.176902220148945633e-01
7.600000000000000000e+02,5.198457538763806562e-01
7.800000000000000000e+02,5.186807402275790402e-01
8.000000000000000000e+02,5.188096866180857969e-01
8.200000000000000000e+02,5.168902540952571290e-01
8.400000000000000000e+02,5.177452499444739065e-01
8.600000000000000000e+02,5.181792890107691507e-01
8.800000000000000000e+02,5.192733675088544443e-01
9.000000000000000000e+02,5.183017383313103243e-01
9.200000000000000000e+02,5.175851408830828282e-01
9.400000000000000000e+02,5.190072602524673506e-01
9.600000000000000000e+02,5.190093284432145682e-01
9.800000000000000000e+02,5.187803966494665131e-01
1.000000000000000000e+03,5.194406836584097853e-01
1.020000000000000000e+03,5.170830466466481701e-01
1.040000000000000000e+03,5.190665058629844175e-01
1.060000000000000000e+03,5.209040538284855915e-01
1.080000000000000000e+03,5.190889203243639338e-01
1.100000000000000000e+03,5.183581993330386162e-01
1.120000000000000000e+03,5.189163032772532436e-01
1.140000000000000000e+03,5.186337980058087771e-01
1.160000000000000000e+03,5.206966544187243695e-01
1.180000000000000000e+03,5.189678093194447506e-01
1.200000000000000000e+03,5.190541806329149743e-01
1.220000000000000000e+03,5.190685410966041635e-01
1.240000000000000000e+03,5.180105952402797032e-01
1.260000000000000000e+03,5.194201662571192868e-01
1.280000000000000000e+03,5.175782442761934776e-01
1.300000000000000000e+03,5.165444106849820249e-01
