# time_ns temp_K pressure_bar volume_A3 kinetic potential total
0.000000000000000000e+00 2.101265999999999963e+02 -6.667141000000000304e+02 2.669124030999999959e+05 1.301915380000000005e+04 -4.522444460000000254e+04 -3.220529079999999885e+04
2.000000000000000042e-02 2.086713000000000022e+02 -3.164164999999999850e+02 2.564897338999999920e+05 1.292898790000000008e+04 -5.452565260000000126e+04 -4.159666470000000118e+04
4.000000000000000083e-02 2.089276000000000124e+02 -2.232891999999999939e+02 2.548502143999999971e+05 1.294486599999999999e+04 -5.466151230000000214e+04 -4.171664630000000034e+04
5.999999999999999778e-02 2.091732000000000085e+02 2.747302999999999997e+02 2.547385702999999921e+05 1.296008619999999974e+04 -5.457699979999999778e+04 -4.161691359999999986e+04
8.000000000000000167e-02 2.092863999999999862e+02 -5.577495000000000118e+02 2.545553806000000041e+05 1.296709599999999955e+04 -5.457144890000000305e+04 -4.160435289999999804e+04
9.999999999999999167e-02 2.059696999999999889e+02 -3.742620000000000005e+02 2.542502742000000144e+05 1.276160050000000047e+04 -5.475161480000000302e+04 -4.199001440000000002e+04
1.199999999999999956e-01 2.112233999999999980e+02 -4.043346000000000231e+02 2.546609909000000043e+05 1.308711410000000069e+04 -5.458075579999999900e+04 -4.149364170000000013e+04
1.399999999999999856e-01 2.095713000000000079e+02 -2.450686000000000035e+02 2.536520184000000008e+05 1.298475109999999950e+04 -5.491429879999999685e+04 -4.192954770000000281e+04
1.600000000000000033e-01 2.089368000000000052e+02 6.406489999999999441e+01 2.528607693999999901e+05 1.294543590000000040e+04 -5.479799300000000221e+04 -4.185255709999999817e+04
1.799999999999999933e-01 2.104970000000000141e+02 2.261400000000000077e+00 2.535832360000000044e+05 1.304210349999999926e+04 -5.489333890000000247e+04 -4.185123539999999775e+04
1.999999999999999833e-01 2.080868000000000109e+02 -1.147514999999999930e+02 2.524709580000000133e+05 1.289277180000000044e+04 -5.482894989999999962e+04 -4.193617809999999736e+04
2.200000000000000011e-01 2.093045999999999935e+02 -3.166218999999999824e+02 2.535021462999999931e+05 1.296822819999999956e+04 -5.486937679999999818e+04 -4.190114860000000044e+04
2.399999999999999911e-01 2.100021000000000129e+02 -3.215899999999999981e+00 2.531440521000000008e+05 1.301144429999999920e+04 -5.485411750000000029e+04 -4.184267319999999745e+04
2.600000000000000089e-01 2.095415999999999883e+02 1.058256999999999977e+02 2.526843634000000020e+05 1.298291129999999976e+04 -5.504823329999999987e+04 -4.206532209999999759e+04
2.799999999999999711e-01 2.091794999999999902e+02 -2.495790000000000077e+02 2.526063038999999990e+05 1.296047509999999966e+04 -5.495214459999999963e+04 -4.199166950000000361e+04
2.999999999999999889e-01 2.096238999999999919e+02 5.131629999999999825e+01 2.528897730999999912e+05 1.298801219999999921e+04 -5.478938169999999809e+04 -4.180136950000000070e+04
3.200000000000000067e-01 2.099932000000000016e+02 -4.075711000000000013e+02 2.527330625000000000e+05 1.301089329999999973e+04 -5.494144900000000052e+04 -4.193055559999999969e+04
3.399999999999999689e-01 2.121118999999999915e+02 -6.454229999999999734e+01 2.525089617000000144e+05 1.314216179999999986e+04 -5.495382340000000113e+04 -4.181166159999999945e+04
3.599999999999999867e-01 2.094491999999999905e+02 -1.133790999999999940e+02 2.534208656999999948e+05 1.297718330000000060e+04 -5.508071620000000257e+04 -4.210353289999999834e+04
3.800000000000000044e-01 2.079489000000000090e+02 -2.442291999999999916e+02 2.529769251999999979e+05 1.288422990000000027e+04 -5.491145709999999963e+04 -4.202722729999999865e+04
3.999999999999999667e-01 2.074750999999999976e+02 -6.017704999999999700e+02 2.534420492000000086e+05 1.285487149999999929e+04 -5.504422030000000086e+04 -4.218934879999999976e+04
4.199999999999999845e-01 2.098888000000000034e+02 2.120439000000000078e+02 2.529370591000000131e+05 1.300442469999999958e+04 -5.514458069999999861e+04 -4.214015589999999793e+04
4.400000000000000022e-01 2.092715000000000032e+02 7.564260000000000161e+01 2.522495564000000013e+05 1.296617760000000089e+04 -5.529127640000000247e+04 -4.232509879999999976e+04
4.599999999999999645e-01 2.098144000000000062e+02 -4.195262999999999920e+02 2.527525323999999964e+05 1.299981459999999970e+04 -5.491089579999999842e+04 -4.191108120000000054e+04
4.799999999999999822e-01 2.069738999999999862e+02 -6.513741999999999734e+02 2.535287024000000092e+05 1.282381680000000051e+04 -5.501081509999999980e+04 -4.218699829999999929e+04
5.000000000000000000e-01 2.100706999999999880e+02 -3.566199999999999903e+01 2.529069596000000020e+05 1.301569299999999930e+04 -5.492195330000000104e+04 -4.190626030000000173e+04
5.200000000000000178e-01 2.098165999999999940e+02 9.164889999999999759e+01 2.525067799999999988e+05 1.299994930000000022e+04 -5.505921949999999924e+04 -4.205927019999999902e+04
5.399999999999999245e-01 2.085272999999999968e+02 -6.095652999999999793e+02 2.536903089000000036e+05 1.292006370000000061e+04 -5.518594329999999900e+04 -4.226587969999999768e+04
5.599999999999999423e-01 2.092570000000000050e+02 -2.432096999999999980e+02 2.538686436999999860e+05 1.296527820000000065e+04 -5.510938629999999830e+04 -4.214410820000000240e+04
5.799999999999999600e-01 2.079918999999999869e+02 -3.023283999999999878e+02 2.540099206000000122e+05 1.288689129999999932e+04 -5.506426589999999851e+04 -4.217737460000000283e+04
5.999999999999999778e-01 2.069555000000000007e+02 1.844189000000000078e+02 2.526111269000000029e+05 1.282267900000000009e+04 -5.513445270000000164e+04 -4.231177369999999792e+04
6.199999999999999956e-01 2.076384999999999934e+02 -3.636480999999999995e+02 2.528619327000000048e+05 1.286499929999999949e+04 -5.482170459999999730e+04 -4.195670519999999669e+04
6.400000000000000133e-01 2.111861000000000104e+02 -2.497494000000000085e+02 2.529698528999999980e+05 1.308480069999999978e+04 -5.488792659999999887e+04 -4.180312599999999657e+04
6.599999999999999201e-01 2.076565999999999974e+02 -3.965765000000000100e+02 2.530000896000000066e+05 1.286611540000000059e+04 -5.506506650000000081e+04 -4.219895109999999841e+04
6.799999999999999378e-01 2.092960999999999956e+02 -1.305405000000000086e+02 2.524056198999999906e+05 1.296769700000000012e+04 -5.514553620000000228e+04 -4.217783920000000217e+04
6.999999999999999556e-01 2.079579999999999984e+02 -1.019085000000000036e+02 2.525390267999999924e+05 1.288479019999999946e+04 -5.516115890000000218e+04 -4.227636860000000161e+04
7.199999999999999734e-01 2.081732000000000085e+02 -7.023722999999999956e+02 2.525494762000000046e+05 1.289812420000000020e+04 -5.497595440000000235e+04 -4.207783019999999669e+04
7.399999999999999911e-01 2.080490000000000066e+02 -9.302039999999999509e+01 2.529863851999999897e+05 1.289043289999999979e+04 -5.515813900000000285e+04 -4.226770610000000306e+04
7.600000000000000089e-01 2.089551999999999907e+02 -2.018102000000000089e+02 2.523228465000000142e+05 1.294657480000000032e+04 -5.512508030000000144e+04 -4.217850549999999930e+04
7.799999999999999156e-01 2.096536000000000115e+02 -2.723000000000000043e+01 2.526108929000000062e+05 1.298984959999999955e+04 -5.493687750000000233e+04 -4.194702790000000095e+04
7.999999999999999334e-01 2.098602999999999952e+02 -1.230711000000000013e+02 2.525499310000000114e+05 1.300265530000000035e+04 -5.497753209999999672e+04 -4.197487690000000293e+04
8.199999999999999512e-01 2.093708000000000027e+02 -4.139827999999999975e+02 2.518225180000000109e+05 1.297232669999999962e+04 -5.508065099999999802e+04 -4.210832430000000022e+04
8.399999999999999689e-01 2.091507000000000005e+02 7.167789999999999395e+01 2.524550241000000096e+05 1.295868889999999919e+04 -5.512668119999999908e+04 -4.216799229999999807e+04
8.599999999999999867e-01 2.078059000000000083e+02 -1.096324999999999932e+02 2.532346234000000113e+05 1.287537069999999949e+04 -5.510316429999999673e+04 -4.222779370000000199e+04
8.800000000000000044e-01 2.084293999999999869e+02 -2.578170999999999822e+02 2.528850663000000059e+05 1.291399740000000020e+04 -5.506228749999999854e+04 -4.214829009999999835e+04
8.999999999999999112e-01 2.085106000000000108e+02 -1.294712000000000103e+02 2.518021269000000029e+05 1.291902920000000086e+04 -5.515178469999999652e+04 -4.223275549999999930e+04
9.199999999999999289e-01 2.091802999999999884e+02 -3.793180000000000263e+01 2.526148348999999871e+05 1.296052160000000003e+04 -5.510867309999999998e+04 -4.214815149999999994e+04
9.399999999999999467e-01 2.087350999999999885e+02 -6.143792999999999438e+02 2.529940236999999906e+05 1.293293859999999950e+04 -5.515688029999999708e+04 -4.222394170000000304e+04
9.599999999999999645e-01 2.070423999999999864e+02 2.555508000000000095e+02 2.522638105999999971e+05 1.282806040000000030e+04 -5.516052270000000135e+04 -4.233246229999999923e+04
9.799999999999999822e-01 2.091845999999999890e+02 -3.171983999999999924e+02 2.532710749000000069e+05 1.296079269999999997e+04 -5.485333460000000196e+04 -4.189254189999999653e+04
1.000000000000000000e+00 2.087711999999999932e+02 1.621760000000000090e+01 2.524512047000000020e+05 1.293517770000000019e+04 -5.530829020000000310e+04 -4.237311250000000291e+04
1.020000000000000018e+00 2.081322999999999865e+02 5.991479999999999961e+01 2.521660075000000070e+05 1.289558990000000085e+04 -5.512578160000000207e+04 -4.223019170000000304e+04
1.040000000000000036e+00 2.078105999999999938e+02 -4.441399999999999793e+00 2.519741005000000005e+05 1.287565929999999935e+04 -5.529518020000000251e+04 -4.241952090000000317e+04
1.060000000000000053e+00 2.092213000000000136e+02 -5.810733000000000175e+02 2.526133086999999941e+05 1.296306730000000061e+04 -5.502755589999999938e+04 -4.206448859999999695e+04
1.079999999999999849e+00 2.090309000000000026e+02 -2.739454000000000065e+02 2.529663407000000007e+05 1.295126510000000053e+04 -5.517410360000000219e+04 -4.222283849999999802e+04
1.099999999999999867e+00 2.094883000000000095e+02 -4.135645000000000095e+02 2.516536675000000105e+05 1.297960759999999937e+04 -5.508672250000000349e+04 -4.210711490000000049e+04
1.119999999999999885e+00 2.084521000000000015e+02 -2.484265000000000043e+02 2.524740402999999933e+05 1.291540350000000035e+04 -5.530157600000000093e+04 -4.238617250000000058e+04
1.139999999999999902e+00 2.101219000000000108e+02 -1.770808000000000106e+02 2.520172025999999896e+05 1.301886310000000049e+04 -5.530814119999999821e+04 -4.228927810000000318e+04
1.159999999999999920e+00 2.102259999999999991e+02 -1.749154000000000053e+02 2.522095326000000059e+05 1.302531489999999940e+04 -5.512785570000000007e+04 -4.210254080000000249e+04
1.179999999999999938e+00 2.084653000000000134e+02 2.769299999999999873e+00 2.522099930999999924e+05 1.291622210000000086e+04 -5.513343359999999666e+04 -4.221721149999999761e+04
1.199999999999999956e+00 2.087076000000000136e+02 -1.852112999999999943e+02 2.522022513000000035e+05 1.293123600000000079e+04 -5.521464280000000144e+04 -4.228340690000000177e+04
1.219999999999999973e+00 2.083071999999999946e+02 -4.772961000000000240e+02 2.522556972999999998e+05 1.290643070000000080e+04 -5.514794470000000001e+04 -4.224151400000000285e+04
1.239999999999999991e+00 2.090937999999999874e+02 -2.679749999999999943e+01 2.512555424000000057e+05 1.295516500000000087e+04 -5.530141199999999662e+04 -4.234624689999999828e+04
1.260000000000000009e+00 2.117292999999999950e+02 -3.313657000000000039e+02 2.518809267000000109e+05 1.311845499999999993e+04 -5.523805539999999746e+04 -4.211960050000000047e+04
1.280000000000000027e+00 2.062598999999999876e+02 -2.723684999999999832e+02 2.518816522000000114e+05 1.277957990000000063e+04 -5.503904839999999967e+04 -4.225946839999999793e+04
1.300000000000000044e+00 2.118163000000000125e+02 -7.085150000000000148e+01 2.526405033000000112e+05 1.312384569999999985e+04 -5.519840159999999742e+04 -4.207455589999999938e+04
1.319999999999999840e+00 2.094585999999999899e+02 -4.912679999999999723e+02 2.532984702000000107e+05 1.297776720000000023e+04 -5.492757220000000234e+04 -4.194980500000000029e+04
1.339999999999999858e+00 2.079525999999999897e+02 -5.026868999999999801e+02 2.529324286999999895e+05 1.288445869999999923e+04 -5.518366520000000310e+04 -4.229920650000000023e+04
1.359999999999999876e+00 2.093295999999999992e+02 -2.068318999999999903e+02 2.528877180999999982e+05 1.296977789999999914e+04 -5.500580200000000332e+04 -4.203602410000000236e+04
1.379999999999999893e+00 2.099412000000000091e+02 -4.186671000000000049e+02 2.521435068000000028e+05 1.300766990000000078e+04 -5.521101000000000204e+04 -4.220334010000000126e+04
1.399999999999999911e+00 2.094786000000000001e+02 5.165919999999999845e+01 2.515577739000000001e+05 1.297900510000000031e+04 -5.502978949999999895e+04 -4.205078429999999935e+04
1.419999999999999929e+00 2.092398000000000025e+02 -4.587570000000000192e+01 2.517493070000000007e+05 1.296421340000000055e+04 -5.507370659999999771e+04 -4.210949319999999716e+04
1.439999999999999947e+00 2.093653999999999940e+02 -3.952672000000000025e+02 2.522119751000000106e+05 1.297199040000000059e+04 -5.521036540000000241e+04 -4.223837509999999747e+04
1.459999999999999964e+00 2.091767999999999859e+02 -3.569943000000000097e+02 2.520271608000000124e+05 1.296030520000000070e+04 -5.526346179999999731e+04 -4.230315660000000207e+04
