dt_ps,MSD_A2,SEM
2.000000000000000000e+01,9.038542524683946340e+02,2.098777445680266140e+00
4.000000000000000000e+01,9.323780453358365321e+02,2.103712226163433563e+00
6.000000000000000000e+01,9.417147591311405677e+02,2.103430453840090752e+00
8.000000000000000000e+01,9.553025645059705084e+02,2.102971127810650653e+00
1.000000000000000000e+02,9.528872516234723662e+02,2.106427708071917149e+00
1.200000000000000000e+02,9.709276014314891654e+02,2.110712653865206789e+00
1.400000000000000000e+02,9.717448076371581465e+02,2.120710001264235256e+00
1.600000000000000000e+02,9.733137812411680443e+02,2.115381420283501956e+00
1.800000000000000000e+02,9.692029813584273370e+02,2.121077904911071954e+00
2.000000000000000000e+02,9.799124213012322571e+02,2.126046568551368310e+00
2.200000000000000000e+02,9.792561747125064358e+02,2.128208249670881180e+00
2.400000000000000000e+02,9.807720891067596085e+02,2.122909643428908311e+00
2.600000000000000000e+02,9.839775236309659476e+02,2.126732041512410909e+00
2.800000000000000000e+02,9.851268208408700957e+02,2.130314734005147592e+00
3.000000000000000000e+02,9.863432753347502739e+02,2.132140704384037466e+00
3.200000000000000000e+02,9.906364653883907749e+02,2.139635388228697366e+00
3.400000000000000000e+02,9.913149995208551672e+02,2.140029473005519378e+00
3.600000000000000000e+02,9.910052536743542078e+02,2.143389771618257278e+00
3.800000000000000000e+02,9.879857405325841455e+02,2.140272058402389987e+00
4.000000000000000000e+02,9.873908071556689947e+02,2.145840299270980189e+00
4.200000000000000000e+02,9.923963524110038179e+02,2.148526373952539981e+00
4.400000000000000000e+02,9.914281189736271926e+02,2.152273672254020553e+00
4.600000000000000000e+02,9.953869948700107670e+02,2.157954184400605602e+00
4.800000000000000000e+02,9.929977430012547757e+02,2.153686900162743445e+00
5.000000000000000000e+02,9.931565019612742162e+02,2.158543157424262837e+00
5.200000000000000000e+02,9.959663566848970504e+02,2.166421990409399090e+00
5.400000000000000000e+02,9.978715387538809409e+02,2.167015851371819846e+00
5.600000000000000000e+02,9.940693746988165458e+02,2.163420413662826558e+00
5.800000000000000000e+02,9.947183102682636218e+02,2.170783884186621826e+00
6.000000000000000000e+02,9.994812993504834822e+02,2.170659723750236747e+00
