dt_ps,VACF
0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,2.025574328992567341e-02
4.000000000000000000e+01,-4.880735682761686012e-01
6.000000000000000000e+01,-1.447329140564062970e-02
8.000000000000000000e+01,-3.706599429003707216e-03
1.000000000000000000e+02,4.214740469746339722e-03
1.200000000000000000e+02,-6.887028351561534124e-03
1.400000000000000000e+02,-1.161700792751049587e-02
1.600000000000000000e+02,2.258314342121396732e-03
1.800000000000000000e+02,6.828747642917583349e-03
2.000000000000000000e+02,-2.945551030436559768e-03
2.200000000000000000e+02,-2.872924029846000028e-03
2.400000000000000000e+02,1.737397725188480780e-03
2.600000000000000000e+02,-9.707498592298780286e-04
2.800000000000000000e+02,6.462392822999600507e-04
3.000000000000000000e+02,1.333496465815832508e-03
3.200000000000000000e+02,-2.614987608828137685e-03
3.400000000000000000e+02,-4.750423948432963388e-03
3.600000000000000000e+02,-2.163445992582215590e-03
3.800000000000000000e+02,4.446934442035052268e-03
4.000000000000000000e+02,4.076956952510607350e-03
4.200000000000000000e+02,-1.043543803005388820e-03
4.400000000000000000e+02,-1.374990199993917457e-03
4.600000000000000000e+02,-3.008900232137818632e-03
4.800000000000000000e+02,7.824507390235549897e-04
5.000000000000000000e+02,3.968531383642781574e-03
5.200000000000000000e+02,-2.577270753065139756e-03
5.400000000000000000e+02,-4.172511660117604083e-03
5.600000000000000000e+02,3.757887818637399742e-03
5.800000000000000000e+02,6.181085846188276792e-03
6.000000000000000000e+02,-3.018569044130094570e-03
6.200000000000000000e+02,-7.105387397543029213e-03
6.400000000000000000e+02,-1.253406026152866209e-03
6.600000000000000000e+02,1.322881121538425951e-03
6.800000000000000000e+02,1.441256014001729381e-03
7.000000000000000000e+02,3.796439052259490549e-03
7.200000000000000000e+02,-3.845578261134823071e-04
7.400000000000000000e+02,-3.505616642312003959e-03
7.600000000000000000e+02,1.642801697263030457e-03
7.800000000000000000e+02,3.037767639421212404e-03
8.000000000000000000e+02,-1.049978641158003556e-04
8.200000000000000000e+02,-3.495661607998819427e-03
8.400000000000000000e+02,-2.787387152355979072e-03
8.600000000000000000e+02,1.089329626371426073e-03
8.800000000000000000e+02,3.258351530120491817e-03
9.000000000000000000e+02,-4.985462611295959131e-04
9.200000000000000000e+02,-3.244408877261609116e-03
9.400000000000000000e+02,1.152345954801468073e-03
9.600000000000000000e+02,1.278230005294960642e-03
9.800000000000000000e+02,1.727977269801554911e-03
1.000000000000000000e+03,8.134513304294662068e-04
1.020000000000000000e+03,-6.171155748184568336e-03
1.040000000000000000e+03,-5.702268100301029555e-04
1.060000000000000000e+03,6.793846720676219308e-03
1.080000000000000000e+03,2.635809978273227967e-04
1.100000000000000000e+03,-2.686257306815498409e-03
1.120000000000000000e+03,-2.064884742526062675e-03
1.140000000000000000e+03,-1.128293801856264839e-04
1.160000000000000000e+03,3.817386469419974115e-03
1.180000000000000000e+03,5.452176274843720060e-05
1.200000000000000000e+03,-6.802739708620653396e-04
1.220000000000000000e+03,-2.554912108202214119e-04
1.240000000000000000e+03,-6.535881834399203489e-04
1.260000000000000000e+03,3.586101400857792665e-03
1.280000000000000000e+03,-6.018770491213709358e-04
1.300000000000000000e+03,-3.644331928485236832e-03
1.320000000000000000e+03,4.035829964117373394e-04
1.340000000000000000e+03,4.205081801886187388e-04
1.360000000000000000e+03,-1.020450472317843043e-03
1.380000000000000000e+03,-1.133243211932292603e-03
1.400000000000000000e+03,9.306476177678156851e-04
1.420000000000000000e+03,2.997245064022400606e-03
1.440000000000000000e+03,1.313444253216119496e-04
1.460000000000000000e+03,-1.705467345719254664e-03
1.480000000000000000e+03,-2.091779345834109387e-03
1.500000000000000000e+03,-2.126126975740720310e-03
1.520000000000000000e+03,2.152802898993461805e-03
1.540000000000000000e+03,3.623417504943511353e-03
1.560000000000000000e+03,1.644853367947826444e-03
1.580000000000000000e+03,-5.960419490786229775e-05
1.600000000000000000e+03,-2.452756651926086412e-03
1.620000000000000000e+03,-2.946600592490675619e-03
1.640000000000000000e+03,-2.274887994082445877e-03
1.660000000000000000e+03,1.292117439214924754e-04
1.680000000000000000e+03,5.289319906568954247e-03
1.700000000000000000e+03,3.314293041195298314e-03
1.720000000000000000e+03,-3.281223428958870807e-03
1.740000000000000000e+03,-2.632057612117807543e-03
1.760000000000000000e+03,-2.746760749767448756e-04
1.780000000000000000e+03,1.184386233039293537e-03
1.800000000000000000e+03,2.892910712706220269e-03
1.820000000000000000e+03,-4.496247948722401945e-03
1.840000000000000000e+03,-8.991094120856521011e-04
1.860000000000000000e+03,6.462658580467248517e-03
1.880000000000000000e+03,-2.273007601026831234e-03
